ROYAL GREEN PREMIUM 30ML,90.0,100.0,0.0,100.0,0.0
O C ELEGANT WHISKY 30ML,153.0,153.0,0.0,153.0,0.0
SPRING VEG,260.0,280.0,310.0,280.0,260.0
BLENDERS PRIDE SELECT 30ML,92.0,102.0,105.0,102.0,0.0
AC PREMIUM 30ML,59.0,69.0,0.0,69.0,0.0
OLD MUNK RUM 30ML,56.0,56.0,0.0,56.0,0.0
MAGIC MOMENTS ORANGE 30ML,59.0,69.0,75.0,69.0,0.0
MAGIC MOMENTS GREEN 30ML,59.0,69.0,75.0,69.0,0.0
JUNO VODHKA 30ML,99.0,99.0,0.0,99.0,0.0
CORN VADA,250.0,270.0,300.0,270.0,250.0
KYRA PREMIUM RED WINE 30ML,60.0,70.0,75.0,70.0,0.0
SIDUS WINE 30ML,43.0,43.0,45.0,43.0,0.0
